Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
Southern Region,Andhra Pradesh,East Godavari,2021,Q3,2150622,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2021,Q3,2145423,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2021,Q3,2110878,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2021,Q3,2007011,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2021,Q3,1606735,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q3,1522196,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q3,1436576,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2021,Q3,1263550,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2021,Q3,1239147,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q4,2888774,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2021,Q4,2294347,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2021,Q4,2288148,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2021,Q4,2252443,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2021,Q4,2141818,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2021,Q4,1719437,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q4,1628242,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q4,1532898,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2021,Q4,1349290,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2021,Q4,1325728,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q1,3061324,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2022,Q1,2432305,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2022,Q1,2423373,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2022,Q1,2387051,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2022,Q1,2270705,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2022,Q1,1827094,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2022,Q1,1729513,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2022,Q1,1626039,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2022,Q1,1431664,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2022,Q1,1408929,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q2,3226029,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2022,Q2,2564165,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2022,Q2,2552107,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2022,Q2,2514794,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2022,Q2,2392549,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2022,Q2,1928213,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2022,Q2,1825280,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2022,Q2,1714357,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2022,Q2,1509927,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2022,Q2,1487589,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q3,3397514,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2022,Q3,2702234,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2022,Q3,2685215,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2022,Q3,2647100,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2022,Q3,2517657,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2022,Q3,2030824,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2022,Q3,1924127,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2022,Q3,1805967,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2022,Q3,1588875,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2022,Q3,1567520,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q4,3566854,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2022,Q4,2835087,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2022,Q4,2813645,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2022,Q4,2774365,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2022,Q4,2636036,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2022,Q4,2128066,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2022,Q4,2018290,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2022,Q4,1893310,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2022,Q4,1663684,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2022,Q4,1642503,15.6589741,79.47164373
