Region,State,District,Year,Quarter,Total_transaction_count,Total_transaction_amount,Latitude,Longitude
Southern Region,Andhra Pradesh,Anantapur,2020,Q2,10473739,22094006659.412506,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q2,9821381,22419372061.805172,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Nellore,2020,Q2,9454274,20665376460.772232,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2020,Q2,8844580,19846026726.90433,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2020,Q2,8033609,19597207268.132023,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q3,34421299,67628440368.111465,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Chittoor,2020,Q3,20501863,42811566246.16463,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Krishna,2020,Q3,19110457,44788458672.084435,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2020,Q3,17972431,39300043804.75851,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Guntur,2020,Q3,17601395,42531195809.75448,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Nellore,2020,Q3,16468209,39128324534.03021,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2020,Q3,14447683,34102037972.657852,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q3,13243292,32529351107.17173,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Prakasam,2020,Q3,12266310,31221704852.44969,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2020,Q3,11934653,32037007334.12973,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q4,46551467,91879823025.40399,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Chittoor,2020,Q4,29590411,61505711149.79541,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Krishna,2020,Q4,27981050,64461504667.60722,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2020,Q4,26136538,60641872021.25432,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2020,Q4,25989490,58732615663.11841,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Anantapur,2020,Q4,20996384,49732610814.26222,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Nellore,2020,Q4,20934374,49115443663.37911,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Kurnool,2020,Q4,18737323,44718203115.22612,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Prakasam,2020,Q4,16176867,41852443493.515396,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2020,Q4,15676878,42572974713.440254,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q1,48248923,95308386037.84721,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2021,Q1,29717175,69715406644.53484,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2021,Q1,29342609,60947491846.66088,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2021,Q1,27445045,64207987853.108406,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2021,Q1,26190701,60027984987.96951,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Nellore,2021,Q1,22541428,52210333201.53073,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2021,Q1,20102957,48353870395.01808,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q1,17918524,44941629659.56964,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q1,16015685,42124030669.36127,16.63713765,81.58909666
Southern Region,Andhra Pradesh,YSR Kadapa,2021,Q1,15374473,42570919448.50447,14.6919995,78.65883805
