Region,State,Pincode,Year,Quarter,Registered_user
Southern Region,Andhra Pradesh,516001,2021,Q1,139840
Southern Region,Andhra Pradesh,516360,2021,Q1,126260
Southern Region,Andhra Pradesh,524002,2021,Q1,118730
Southern Region,Andhra Pradesh,530026,2021,Q1,113581
Southern Region,Andhra Pradesh,520010,2021,Q1,112324
Southern Region,Andhra Pradesh,517501,2021,Q2,203005
Southern Region,Andhra Pradesh,517507,2021,Q2,182425
Southern Region,Andhra Pradesh,515001,2021,Q2,157649
Southern Region,Andhra Pradesh,530016,2021,Q2,154509
Southern Region,Andhra Pradesh,518002,2021,Q2,149368
Southern Region,Andhra Pradesh,516001,2021,Q2,148851
Southern Region,Andhra Pradesh,516360,2021,Q2,134622
Southern Region,Andhra Pradesh,524002,2021,Q2,126459
Southern Region,Andhra Pradesh,530026,2021,Q2,120973
Southern Region,Andhra Pradesh,520010,2021,Q2,119561
Southern Region,Andhra Pradesh,517501,2021,Q3,216777
Southern Region,Andhra Pradesh,517507,2021,Q3,194860
Southern Region,Andhra Pradesh,515001,2021,Q3,168654
Southern Region,Andhra Pradesh,530016,2021,Q3,164812
Southern Region,Andhra Pradesh,518002,2021,Q3,159802
Southern Region,Andhra Pradesh,516001,2021,Q3,158891
Southern Region,Andhra Pradesh,516360,2021,Q3,144068
Southern Region,Andhra Pradesh,524002,2021,Q3,135136
Southern Region,Andhra Pradesh,530026,2021,Q3,129270
Southern Region,Andhra Pradesh,520010,2021,Q3,127618
Southern Region,Andhra Pradesh,517501,2021,Q4,230688
Southern Region,Andhra Pradesh,517507,2021,Q4,207174
Southern Region,Andhra Pradesh,515001,2021,Q4,179763
Southern Region,Andhra Pradesh,530016,2021,Q4,175300
Southern Region,Andhra Pradesh,518002,2021,Q4,170267
Southern Region,Andhra Pradesh,516001,2021,Q4,169158
Southern Region,Andhra Pradesh,516360,2021,Q4,153381
Southern Region,Andhra Pradesh,524002,2021,Q4,143764
Southern Region,Andhra Pradesh,530026,2021,Q4,137812
Southern Region,Andhra Pradesh,520010,2021,Q4,135719
Southern Region,Andhra Pradesh,517501,2022,Q1,243791
Southern Region,Andhra Pradesh,517507,2022,Q1,218905
Southern Region,Andhra Pradesh,515001,2022,Q1,190203
Southern Region,Andhra Pradesh,530016,2022,Q1,185094
Southern Region,Andhra Pradesh,518002,2022,Q1,180102
Southern Region,Andhra Pradesh,516001,2022,Q1,179007
Southern Region,Andhra Pradesh,516360,2022,Q1,162263
