Region,State,Pincode,Year,Quarter,Total_transaction_count,Total_transaction_amount
Southern Region,Andaman and Nicobar Islands,744103,2022,Q2,230746,561168775.5622396
Southern Region,Andaman and Nicobar Islands,744105,2022,Q2,176252,415796516.6034926
Southern Region,Andaman and Nicobar Islands,744102,2022,Q2,101551,240451609.192299
Southern Region,Andaman and Nicobar Islands,744104,2022,Q2,47069,94335358.34017953
Southern Region,Andaman and Nicobar Islands,744211,2022,Q2,40245,108788594.62847154
Southern Region,Andaman and Nicobar Islands,744107,2022,Q2,36402,82851064.58195859
Southern Region,Andaman and Nicobar Islands,744112,2022,Q2,32548,70178309.12885833
Southern Region,Andaman and Nicobar Islands,744202,2022,Q2,27750,84587978.8405464
Southern Region,Andaman and Nicobar Islands,744301,2022,Q2,26170,74485462.68044695
Southern Region,Andaman and Nicobar Islands,744104,2022,Q3,497273,951370315.4090765
Southern Region,Andaman and Nicobar Islands,744103,2022,Q3,259994,545653686.3062732
Southern Region,Andaman and Nicobar Islands,744101,2022,Q3,213864,444967255.802143
Southern Region,Andaman and Nicobar Islands,744105,2022,Q3,208055,438754611.5375265
Southern Region,Andaman and Nicobar Islands,744102,2022,Q3,114416,239581586.790242
Southern Region,Andaman and Nicobar Islands,744107,2022,Q3,40466,85492008.49477127
Southern Region,Andaman and Nicobar Islands,744112,2022,Q3,38350,74030563.48358011
Southern Region,Andaman and Nicobar Islands,744211,2022,Q3,37918,89671382.06901146
Southern Region,Andaman and Nicobar Islands,744202,2022,Q3,29918,85509005.84576747
Southern Region,Andaman and Nicobar Islands,744301,2022,Q3,27668,70002553.35288173
Southern Region,Andaman and Nicobar Islands,744104,2022,Q4,684366,1309407988.2902
Southern Region,Andaman and Nicobar Islands,744103,2022,Q4,304600,612929267.1773143
Southern Region,Andaman and Nicobar Islands,744105,2022,Q4,258097,505662756.1128938
Southern Region,Andaman and Nicobar Islands,744101,2022,Q4,243494,467192496.17391205
Southern Region,Andaman and Nicobar Islands,744102,2022,Q4,134923,264371699.73904055
Southern Region,Andaman and Nicobar Islands,744211,2022,Q4,56491,137253267.66612908
Southern Region,Andaman and Nicobar Islands,744107,2022,Q4,54192,104539818.47127225
Southern Region,Andaman and Nicobar Islands,744112,2022,Q4,46364,82461782.47749998
Southern Region,Andaman and Nicobar Islands,744202,2022,Q4,34689,94217164.85909571
Southern Region,Andaman and Nicobar Islands,744301,2022,Q4,33669,82466591.07632071
Southern Region,Andhra Pradesh,517501,2018,Q1,110496,163487278.84449506
Southern Region,Andhra Pradesh,520001,2018,Q1,96883,170605900.5466873
Southern Region,Andhra Pradesh,515001,2018,Q1,92754,133522310.75704184
Southern Region,Andhra Pradesh,517507,2018,Q1,88132,127450018.2101582
Southern Region,Andhra Pradesh,516001,2018,Q1,84644,131194265.5243713
Southern Region,Andhra Pradesh,518502,2018,Q1,82421,68040306.13881023
Southern Region,Andhra Pradesh,530016,2018,Q1,81891,140880970.0990568
Southern Region,Andhra Pradesh,520010,2018,Q1,69581,119009921.97401813
Southern Region,Andhra Pradesh,516360,2018,Q1,68340,101612118.88480642
